,0
0,1.5995926845897016e-06
1,1.7378083702786524e-06
2,1.755632128912377e-06
3,1.8776151639952018e-06
4,1.7796479028076317e-06
5,1.9296082934705387e-06
6,1.784241605879994e-06
7,1.7049107218341771e-06
8,1.8712835805914322e-06
9,1.8906064907651505e-06
10,1.6741313480202424e-06
